,Video file,Organ,Finding,Classification
0,000cd4cc-0e53-46e5-ba6c-bdcdb8e5b20e,Upper GI,pylorus,anatomical-landmarks
1,001f3333-1f3b-4aba-811c-e1679beccd57,Upper GI,pylorus,anatomical-landmarks
2,00462b7f-92e4-40fc-a106-9875cf478d07,Upper GI,pylorus,anatomical-landmarks
3,00883e8a-026a-4dfa-85c9-c1e205cc5017,Upper GI,pylorus,anatomical-landmarks
4,00d0f5ef-b458-4c15-a224-ba925a39d79c,Upper GI,pylorus,anatomical-landmarks
5,0133b6b9-ee57-44dc-8ad9-15e974e806e1,Upper GI,pylorus,anatomical-landmarks
6,0148003b-448d-430c-8294-d5b5642e5ff0,Upper GI,pylorus,anatomical-landmarks
7,014df6af-8a76-44c6-be6f-065bf4609586,Upper GI,pylorus,anatomical-landmarks
8,017918d0-1642-480e-85aa-69d316981e75,Upper GI,pylorus,anatomical-landmarks
9,017f0ee4-24fd-49b3-b362-57b7d9cf52ae,Upper GI,pylorus,anatomical-landmarks
10,01d88fea-13f3-4dfa-9a06-a10285d63040,Upper GI,pylorus,anatomical-landmarks
11,0276127c-9472-4776-92ac-4c287ccd1017,Upper GI,pylorus,anatomical-landmarks
12,027e5a87-7192-4614-9648-4ead9052c8a8,Upper GI,pylorus,anatomical-landmarks
13,02817dfa-620a-4cea-b1db-34e46061019a,Upper GI,pylorus,anatomical-landmarks
14,02a1ea5f-6b32-4973-9f54-75d8bac1a7a7,Upper GI,pylorus,anatomical-landmarks
15,031ca159-cd8f-47a6-8b4a-51623780145a,Upper GI,pylorus,anatomical-landmarks
16,033ef76b-a24e-4f2b-8d1b-f72019950867,Upper GI,pylorus,anatomical-landmarks
17,038a9aee-72e8-4a43-ba95-fdf8a7bc87d4,Upper GI,pylorus,anatomical-landmarks
18,03af8452-33aa-4dba-8b67-7928c763841e,Upper GI,pylorus,anatomical-landmarks
19,046c43a3-ee54-4f9a-9b4a-2ee3677d1fb5,Upper GI,pylorus,anatomical-landmarks
20,04a81984-101f-4736-84ba-522b39951cd9,Upper GI,pylorus,anatomical-landmarks
21,04b37aa4-d1d0-44cf-8e2c-071bcbe0c7a5,Upper GI,pylorus,anatomical-landmarks
22,04cde801-48d1-49ea-a257-8473c80da7c7,Upper GI,pylorus,anatomical-landmarks
23,0530272d-5493-46ff-881b-91ffeff54d4c,Upper GI,pylorus,anatomical-landmarks
24,057aa31d-34a1-4d2e-85b1-4f1f58d48eb3,Upper GI,pylorus,anatomical-landmarks
25,05ad10b1-4131-4c0d-9b87-8a62aee49da3,Upper GI,pylorus,anatomical-landmarks
26,05b6b0dc-ddff-48c7-9f4b-4980e3a9cb9b,Upper GI,pylorus,anatomical-landmarks
27,05ba51d6-d6ac-492a-ad7d-4e144e22d0c9,Upper GI,pylorus,anatomical-landmarks
28,05da3c1b-05b1-4aa4-9896-cd9813044101,Upper GI,pylorus,anatomical-landmarks
29,060bb30a-cf98-44bd-ade1-33bf60207517,Upper GI,pylorus,anatomical-landmarks
30,061dc24b-94c4-423b-b82f-75a2c297ba25,Upper GI,pylorus,anatomical-landmarks
